ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
AFG,Afghanistan,"[60.53, 29.32, 75.16, 38.49]",0.591875,0.578125,0.6140625,0.5640625,0.5659375,0.6140625,0.593125,0.6209375,0.561875,0.58,0.625,0.623125,0.638125,0.563125,0.67125,0.583125,0.595,0.5540625,0.5959375,0.603125,0.5809375,0.5440625,0.576875,0.6240625,0.5990625,0.645,0.67,0.641875,0.666875,0.608125,0.64375,0.6159375,0.6340625,0.663125,0.603125,0.5890625,0.63,0.601875,0.6309375,0.583125,0.563125,0.613125,0.626875,0.581875,0.616875,0.5940625,0.6009375,0.623125,0.69,0.613125,0.6309375,0.631875,0.6140625,0.6209375,0.6109375,0.603125
AGO,Angola,"[11.64, -17.93, 24.08, -4.44]",0.51,0.561875,0.6140625,0.58,0.53,0.5609375,0.5540625,0.588125,0.6059375,0.538125,0.5359375,0.548125,0.64375,0.541875,0.546875,0.5490625,0.513125,0.5940625,0.558125,0.5259375,0.5940625,0.5640625,0.518125,0.573125,0.585,0.605,0.545,0.61,0.535,0.57,0.57,0.543125,0.585,0.583125,0.586875,0.6140625,0.536875,0.6090625,0.6340625,0.591875,0.5609375,0.593125,0.573125,0.576875,0.5690625,0.551875,0.5759375,0.54,0.598125,0.5990625,0.5940625,0.58,0.5990625,0.5890625,0.6209375,0.553125
ALB,Albania,"[19.3, 39.62, 21.02, 42.69]",0.4359375,0.398125,0.441875,0.518125,0.451875,0.43,0.4590625,0.436875,0.4159375,0.4359375,0.446875,0.43,0.4540625,0.443125,0.468125,0.45,0.458125,0.4240625,0.446875,0.488125,0.4340625,0.4359375,0.453125,0.486875,0.4390625,0.446875,0.4440625,0.463125,0.4459375,0.473125,0.5,0.4890625,0.453125,0.47,0.4659375,0.4759375,0.4790625,0.543125,0.46,0.463125,0.451875,0.525,0.4590625,0.448125,0.488125,0.45,0.461875,0.511875,0.471875,0.473125,0.4890625,0.47,0.4740625,0.483125,0.4659375,0.516875
ARE,United Arab Emirates,"[51.58, 22.5, 56.4, 26.06]",0.55,0.5059375,0.5190625,0.528125,0.5190625,0.5209375,0.526875,0.533125,0.5190625,0.523125,0.518125,0.538125,0.5340625,0.5259375,0.525,0.5190625,0.526875,0.5259375,0.5359375,0.536875,0.5309375,0.538125,0.5390625,0.52,0.536875,0.531875,0.5340625,0.5359375,0.5359375,0.583125,0.541875,0.541875,0.54,0.553125,0.5490625,0.5609375,0.5509375,0.72,0.5459375,0.553125,0.5590625,0.543125,0.698125,0.546875,0.55,0.5459375,0.626875,0.5609375,0.56,0.5640625,0.5559375,0.5559375,0.563125,0.6290625,0.565,0.565
ARG,Argentina,"[-73.42, -55.25, -53.63, -21.83]",0.531875,0.61,0.543125,0.523125,0.5559375,0.5759375,0.523125,0.56,0.578125,0.625,0.511875,0.5890625,0.5040625,0.5790625,0.615,0.61,0.588125,0.5959375,0.626875,0.5890625,0.5190625,0.6090625,0.551875,0.536875,0.538125,0.596875,0.583125,0.6090625,0.563125,0.5809375,0.533125,0.6040625,0.596875,0.585,0.625,0.531875,0.6009375,0.6390625,0.54,0.6009375,0.636875,0.705,0.586875,0.5540625,0.536875,0.6259375,0.583125,0.553125,0.608125,0.631875,0.6159375,0.64,0.62,0.553125,0.59,0.733125
ARM,Armenia,"[43.58, 38.74, 46.51, 41.25]",0.4409375,0.428125,0.4509375,0.4290625,0.506875,0.44,0.441875,0.441875,0.43,0.4309375,0.495,0.443125,0.445,0.4340625,0.443125,0.4509375,0.4740625,0.4409375,0.45,0.443125,0.4459375,0.5590625,0.4709375,0.4509375,0.4559375,0.453125,0.476875,0.4590625,0.461875,0.485,0.4559375,0.543125,0.47,0.4840625,0.465,0.463125,0.5090625,0.465,0.4540625,0.4959375,0.4809375,0.5159375,0.485,0.481875,0.468125,0.481875,0.463125,0.491875,0.473125,0.51,0.488125,0.49,0.488125,0.4859375,0.5459375,0.496875
ATA,Antarctica,"[-180.0, -90.0, 180.0, -63.27]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATF,French Southern Territories,"[68.72, -49.78, 70.56, -48.63]",0.13796875,0.146015625,0.148984375,0.136015625,0.151015625,0.15,0.14703125,0.14796875,0.135,0.146015625,0.156015625,0.138984375,0.15,0.145,0.146015625,0.13296875,0.151015625,0.14703125,0.148984375,0.141015625,0.15203125,0.143984375,0.146015625,0.141015625,0.146015625,0.15203125,0.133984375,0.15203125,0.151015625,0.15796875,0.15796875,0.1659375,0.14796875,0.15,0.165,0.15,0.143984375,0.15296875,0.148984375,0.165,0.16,0.146015625,0.1609375,0.153984375,0.1640625,0.14296875,0.16,0.16203125,0.1759375,0.16203125,0.16203125,0.156015625,0.153984375,0.16203125,0.1659375,0.153984375
AUS,Australia,"[113.34, -43.63, 153.57, -10.67]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,"[9.48, 46.43, 16.98, 49.04]",0.415,0.4040625,0.46,0.4309375,0.483125,0.4540625,0.428125,0.4390625,0.401875,0.425,0.4559375,0.388125,0.451875,0.44,0.476875,0.42,0.431875,0.416875,0.4340625,0.4659375,0.4240625,0.446875,0.4540625,0.455,0.4340625,0.408125,0.4809375,0.45,0.486875,0.526875,0.455,0.461875,0.4740625,0.468125,0.461875,0.491875,0.478125,0.501875,0.488125,0.4540625,0.5109375,0.465,0.47,0.43,0.4659375,0.4590625,0.4540625,0.471875,0.4740625,0.4809375,0.4740625,0.473125,0.536875,0.501875,0.493125,0.52
