ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079
AFG,Afghanistan,"[60.53, 29.32, 75.16, 38.49]",59.1875,57.8125,61.40625,56.40625,56.59375,61.40625,59.3125,62.09375,56.1875,58.0,62.5,62.3125,63.8125,56.3125,67.125,58.3125,59.5,55.40625,59.59375,60.3125,58.09375,54.40625,57.6875,62.40625,59.90625,64.5,67.0,64.1875,66.6875,60.8125,64.375,61.59375,63.40625,66.3125,60.3125,58.90625,63.0,60.1875,63.09375,58.3125,56.3125,61.3125,62.6875,58.1875,61.6875,59.40625,60.09375,62.3125,69.0,61.3125,63.09375,63.1875,61.40625,62.09375,61.09375,60.3125
AGO,Angola,"[11.64, -17.93, 24.08, -4.44]",51.0,56.1875,61.40625,58.0,53.0,56.09375,55.40625,58.8125,60.59375,53.8125,53.59375,54.8125,64.375,54.1875,54.6875,54.90625,51.3125,59.40625,55.8125,52.59375,59.40625,56.40625,51.8125,57.3125,58.5,60.5,54.5,61.0,53.5,57.0,57.0,54.3125,58.5,58.3125,58.6875,61.40625,53.6875,60.90625,63.40625,59.1875,56.09375,59.3125,57.3125,57.6875,56.90625,55.1875,57.59375,54.0,59.8125,59.90625,59.40625,58.0,59.90625,58.90625,62.09375,55.3125
ALB,Albania,"[19.3, 39.62, 21.02, 42.69]",43.59375,39.8125,44.1875,51.8125,45.1875,43.0,45.90625,43.6875,41.59375,43.59375,44.6875,43.0,45.40625,44.3125,46.8125,45.0,45.8125,42.40625,44.6875,48.8125,43.40625,43.59375,45.3125,48.6875,43.90625,44.6875,44.40625,46.3125,44.59375,47.3125,50.0,48.90625,45.3125,47.0,46.59375,47.59375,47.90625,54.3125,46.0,46.3125,45.1875,52.5,45.90625,44.8125,48.8125,45.0,46.1875,51.1875,47.1875,47.3125,48.90625,47.0,47.40625,48.3125,46.59375,51.6875
ARE,United Arab Emirates,"[51.58, 22.5, 56.4, 26.06]",55.0,50.59375,51.90625,52.8125,51.90625,52.09375,52.6875,53.3125,51.90625,52.3125,51.8125,53.8125,53.40625,52.59375,52.5,51.90625,52.6875,52.59375,53.59375,53.6875,53.09375,53.8125,53.90625,52.0,53.6875,53.1875,53.40625,53.59375,53.59375,58.3125,54.1875,54.1875,54.0,55.3125,54.90625,56.09375,55.09375,72.0,54.59375,55.3125,55.90625,54.3125,69.8125,54.6875,55.0,54.59375,62.6875,56.09375,56.0,56.40625,55.59375,55.59375,56.3125,62.90625,56.5,56.5
ARG,Argentina,"[-73.42, -55.25, -53.63, -21.83]",53.1875,61.0,54.3125,52.3125,55.59375,57.59375,52.3125,56.0,57.8125,62.5,51.1875,58.90625,50.40625,57.90625,61.5,61.0,58.8125,59.59375,62.6875,58.90625,51.90625,60.90625,55.1875,53.6875,53.8125,59.6875,58.3125,60.90625,56.3125,58.09375,53.3125,60.40625,59.6875,58.5,62.5,53.1875,60.09375,63.90625,54.0,60.09375,63.6875,70.5,58.6875,55.40625,53.6875,62.59375,58.3125,55.3125,60.8125,63.1875,61.59375,64.0,62.0,55.3125,59.0,73.3125
ARM,Armenia,"[43.58, 38.74, 46.51, 41.25]",44.09375,42.8125,45.09375,42.90625,50.6875,44.0,44.1875,44.1875,43.0,43.09375,49.5,44.3125,44.5,43.40625,44.3125,45.09375,47.40625,44.09375,45.0,44.3125,44.59375,55.90625,47.09375,45.09375,45.59375,45.3125,47.6875,45.90625,46.1875,48.5,45.59375,54.3125,47.0,48.40625,46.5,46.3125,50.90625,46.5,45.40625,49.59375,48.09375,51.59375,48.5,48.1875,46.8125,48.1875,46.3125,49.1875,47.3125,51.0,48.8125,49.0,48.8125,48.59375,54.59375,49.6875
ATA,Antarctica,"[-180.0, -90.0, 180.0, -63.27]",13.0,12.296875,9.6015625,9.0,10.5,10.203125,9.1015625,11.3984375,10.3984375,11.296875,13.703125,9.0,10.3984375,10.8984375,10.3984375,11.0,10.296875,12.1015625,10.6015625,10.3984375,11.3984375,10.0,10.296875,9.8984375,12.3984375,12.0,13.796875,13.0,12.6015625,12.0,11.8984375,12.3984375,11.1015625,11.0,10.3984375,12.6015625,14.1015625,11.703125,15.3984375,12.0,15.0,12.8984375,13.5,13.5,12.703125,15.5,13.6015625,13.8984375,13.296875,12.0,14.203125,16.0,15.296875,11.796875,16.90625,16.40625
ATF,French Southern Territories,"[68.72, -49.78, 70.56, -48.63]",13.796875,14.6015625,14.8984375,13.6015625,15.1015625,15.0,14.703125,14.796875,13.5,14.6015625,15.6015625,13.8984375,15.0,14.5,14.6015625,13.296875,15.1015625,14.703125,14.8984375,14.1015625,15.203125,14.3984375,14.6015625,14.1015625,14.6015625,15.203125,13.3984375,15.203125,15.1015625,15.796875,15.796875,16.59375,14.796875,15.0,16.5,15.0,14.3984375,15.296875,14.8984375,16.5,16.0,14.6015625,16.09375,15.3984375,16.40625,14.296875,16.0,16.203125,17.59375,16.203125,16.203125,15.6015625,15.3984375,16.203125,16.59375,15.3984375
AUS,Australia,"[113.34, -43.63, 153.57, -10.67]",81.3125,71.875,69.3125,79.125,77.375,72.6875,82.125,77.375,74.125,73.8125,79.625,69.0,70.375,72.125,84.375,74.5,76.875,74.0,77.125,80.375,72.6875,81.6875,85.625,79.5,71.875,77.1875,69.875,80.5,72.0,77.375,77.1875,79.5,77.3125,79.5,74.6875,84.125,77.0,72.625,85.0,74.875,80.1875,73.3125,70.1875,75.0,78.1875,75.6875,82.1875,74.1875,77.3125,69.875,77.875,74.5,80.125,83.375,71.625,76.1875
AUT,Austria,"[9.48, 46.43, 16.98, 49.04]",41.5,40.40625,46.0,43.09375,48.3125,45.40625,42.8125,43.90625,40.1875,42.5,45.59375,38.8125,45.1875,44.0,47.6875,42.0,43.1875,41.6875,43.40625,46.59375,42.40625,44.6875,45.40625,45.5,43.40625,40.8125,48.09375,45.0,48.6875,52.6875,45.5,46.1875,47.40625,46.8125,46.1875,49.1875,47.8125,50.1875,48.8125,45.40625,51.09375,46.5,47.0,43.0,46.59375,45.90625,45.40625,47.1875,47.40625,48.09375,47.40625,47.3125,53.6875,50.1875,49.3125,52.0
