ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
AFG,Afghanistan,"[60.53, 29.32, 75.16, 38.49]",23.62601159,24.98974523,24.17338522,24.4372709,24.62147298,24.69778268,24.19366901,24.34800282,24.28288558,25.461944,24.48290526,23.98789411,23.99189425,23.88761409,24.66935473,24.94916011,25.18260697,25.87355064,24.8128841,23.84588358,25.46587872,25.58492951,24.65643936,25.48271228,25.83825402,25.30658092,26.58045749,25.30510188,25.28920232,26.20226585,26.32777251,26.59713686,25.69043605,25.10386049,25.28526116,25.85221623,27.1250244,25.20494881,27.10277209,27.51516146,27.3447323,27.31147233,26.19138941,28.67399536,26.84841248,26.46443208,27.21788025,27.20787823,28.20531617,28.04638612,29.06234533,28.3541095,26.50735069,27.15009653,27.58348003,28.76193378,28.05378491
AGO,Angola,"[11.64, -17.93, 24.08, -4.44]",31.46230518,30.42605276,30.63634801,30.97685581,30.89088277,31.18758573,30.97635531,30.81557477,30.99502655,31.59541178,30.9291428,31.58510705,31.50414187,30.81957956,31.51198746,31.58221331,31.64338142,31.35201101,31.65210641,31.53143559,31.01862981,31.75155008,32.26685992,31.89360933,32.48098055,32.27654374,32.27680917,32.30436218,32.24785382,32.34898784,33.32509672,32.84430834,32.47325505,32.92033116,33.78975675,33.52203437,32.81505242,32.49914864,33.88312948,33.85351798,33.37459798,33.69546844,33.82753838,34.30576864,33.92358057,33.66492103,34.20738908,34.2599955,34.91338013,34.54111637,34.41706544,34.8519084,34.55485247,34.49692066,34.88190291,35.5418933,34.67736771
ALB,Albania,"[19.3, 39.62, 21.02, 42.69]",19.10868566,18.03965001,19.72085779,18.66376832,18.96918914,18.49351987,19.46860831,19.67826054,19.42622698,18.77657767,20.24666056,19.74236288,20.70941729,20.38049222,19.73691519,19.06631875,19.72563513,18.98735128,21.09571227,19.83775512,19.56952688,19.54866119,19.38679551,20.38492147,19.83476653,20.03134528,20.75552628,21.35343295,21.22019334,22.1049755,21.08443841,21.45939176,21.43374521,21.10476191,20.25787186,21.60709645,21.98394525,21.89349645,21.551469,21.41196396,22.26526922,21.17360637,21.32200013,20.21341167,21.34125409,21.56279188,21.76572256,22.53832648,21.74379591,22.7224245,22.8849733,22.12487348,22.6817657,22.28934875,23.06866982,22.45550299,24.64868964
ARE,United Arab Emirates,"[51.58, 22.5, 56.4, 26.06]",34.50770429,34.13270098,34.40041353,34.46801758,35.12888756,35.34185053,34.7224314,34.93035783,35.07510851,35.25168367,34.5820852,35.07777296,35.46047092,34.82787483,35.40647515,35.54560366,35.48438886,35.27177674,35.59525644,34.98942419,35.52871395,35.81835998,35.45020014,35.31815261,35.87382873,35.68675612,36.48037833,35.19185836,35.75898317,36.25936656,36.62849573,36.45051059,36.14380697,36.08757776,35.77398787,36.4714042,36.62623758,36.72564441,36.84925612,37.50412748,36.61287344,37.36490343,36.81294428,37.52783685,36.96844015,37.18122046,36.89257391,37.55205621,37.69092339,37.80450063,38.21558341,38.38999928,37.48551975,37.79094208,38.17498372,38.17708996,38.37819674
ARG,Argentina,"[-73.42, -55.25, -53.63, -21.83]",18.26556756,17.67490422,17.68096242,17.75827905,17.44789854,17.74944557,18.19053055,17.69948507,17.77455968,17.81741364,18.23524317,17.62261181,17.79580922,17.97934437,18.20803749,18.0124044,18.12806803,17.8830208,18.26379528,17.88989859,17.66890771,18.15483669,18.49734976,18.5195483,18.59715058,18.85362283,18.16729168,18.59721564,18.98597348,19.03819629,18.63020892,18.96999572,18.80607195,18.7763238,19.45419833,19.33564478,19.52692335,19.76205288,19.63479964,19.8372832,19.51622909,19.39491915,19.69159177,19.33310863,20.17902383,19.93615034,19.61870945,19.85549944,19.85473322,20.05374021,20.20311034,20.17966827,20.11519453,20.47561791,19.81730202,20.93317425,20.76087972
ARM,Armenia,"[43.58, 38.74, 46.51, 41.25]",16.38807849,16.39150094,16.63723457,16.06978773,17.1311363,17.0979625,17.21415158,17.15680634,17.11980716,15.90979762,15.60547879,16.62731777,16.68328499,16.87467216,17.34435557,17.2580361,17.25965393,16.8723661,17.64548348,17.53166398,18.21155571,18.5312512,18.40008751,18.11576379,16.86185247,17.8948381,19.46621043,18.28057042,17.96311283,18.31017889,17.14881164,19.60586602,18.3779738,19.14698093,18.5492193,17.65449608,19.12083005,18.89112309,18.8154771,19.49292043,19.56143477,20.07326353,19.76128193,19.87636315,19.65525543,19.30580078,20.26465483,19.38436265,19.91386384,20.41404855,20.79338328,20.58355921,21.09625589,20.41250846,21.82027878,21.33406284,22.0993016
ATF,French Southern Territories,"[68.72, -49.78, 70.56, -48.63]",6.882194689,6.811769341,6.72676907,6.799813097,7.020057237,7.119959039,7.339455838,7.126610921,6.769692247,6.755042318,7.131415948,7.108347439,6.981665853,6.971218533,6.960821669,7.364462619,7.00646715,7.153493652,7.615931261,7.450516222,7.011716309,7.096416151,7.401692844,7.622239583,7.547811822,7.659697266,7.232589247,7.174926622,7.760160048,7.50677653,7.736907552,8.121805284,8.098923069,7.86582506,7.911142036,7.674043511,7.904999457,8.380396322,8.19443929,8.652789171,8.58013048,8.187747938,8.591647949,8.868958062,8.71585612,8.275808377,8.17915663,8.284015299,8.728370768,8.580341254,8.193954807,8.593314887,8.639864909,9.118573134,8.827513563,8.523258735,9.061093207
AUS,Australia,"[113.34, -43.63, 153.57, -10.67]",25.43864593,25.60918436,25.25419693,25.66224627,25.47374782,25.82782447,25.63852889,25.51214101,25.72384481,26.19699019,25.00136248,25.62182921,25.9700414,26.07317075,25.77885998,25.60603859,26.19314926,25.95394678,26.18401382,26.34754002,26.08784397,26.25869904,26.36080719,26.23734256,26.55217198,26.77045727,26.88393673,26.96935616,26.55341109,26.65688243,27.21226881,26.77794526,27.1075487,26.91799229,27.08868314,27.61274213,27.38180356,27.42888024,27.97385115,27.41674557,27.31879051,27.60355859,27.8586491,27.62015762,28.01156412,27.90025504,27.97153954,28.0980437,28.28797318,28.1988565,28.20303755,28.27943156,28.57690253,28.13025429,28.3917764,28.58012302,28.46336767
AUT,Austria,"[9.48, 46.43, 16.98, 49.04]",12.50184797,12.91822933,14.3991277,13.2294035,13.258537,12.53571227,13.31818255,14.07454061,13.61384852,13.38795186,15.18087888,13.8405593,14.5660056,13.96315391,13.64000199,13.66621742,13.28848887,13.64722542,15.64301078,14.67010044,13.69526109,13.80693191,13.84485948,16.06821407,14.27401745,14.09619448,14.69492127,15.48935321,15.46149327,17.89275631,15.50967216,15.27765976,16.47446204,15.84311903,15.15949821,16.53164912,16.19001624,16.74454522,16.20597906,16.04561486,16.74872557,15.01636553,15.41775483,14.90178647,16.85969204,16.69825304,15.89213997,16.77353952,16.29063607,17.17581562,16.93543965,16.19767472,17.73883277,17.89003163,17.03865781,18.25487635,18.50265924
AZE,Azerbaijan,"[44.79, 38.27, 50.39, 41.86]",18.04234893,18.14640867,18.42032531,17.94202532,18.96436848,18.8680005,18.97237002,18.93488953,19.12032592,17.64021706,17.16555933,18.43722378,18.48264581,18.78902167,19.02396605,19.15313985,19.18395932,18.62947395,19.19895819,19.25668088,19.66792548,20.5072099,20.16537037,19.90361985,19.03346523,19.62109487,20.92935205,20.03993822,19.63859296,20.2606228,19.08016277,21.27624922,20.35172753,20.88622666,20.13317819,19.46752944,20.43198119,20.20351881,20.55818428,21.23680197,21.00351283,21.74272506,21.27752431,21.61036897,21.32047042,20.65633948,21.92641559,21.31747155,21.71664139,21.94774823,22.23542228,22.20749027,22.6930714,21.92364103,23.11702876,23.06995174,22.90201449
BDI,Burundi,"[29.02, -4.5, 30.75, -2.35]",28.5789171,27.04913737,27.41504991,27.66111654,27.92913231,28.16174949,27.5301161,27.9276331,28.02058558,28.11334274,27.8154532,28.16694336,28.39708478,28.18716001,28.61203161,28.62637261,28.84151837,28.5232241,28.38051215,28.6965549,27.84576461,28.95468569,29.37514468,28.93194264,29.6372866,29.28168403,29.27952836,29.80110135,29.12408673,29.65106698,29.80974031,29.32301794,29.57109556,29.9470667,30.82473416,30.11074761,29.70832791,29.9822338,30.83565538,30.36273691,29.94456561,30.58009259,30.60577257,30.82182075,30.31424154,30.58945493,30.52289497,31.25936596,31.7468117,30.84361256,31.01185077,31.31305519,30.82809787,30.8416739,31.34968352,32.11696325,31.06235532
BEL,Belgium,"[2.51, 49.53, 6.16, 51.48]",13.99592962,15.17517397,15.53455746,15.04797898,14.38674523,13.89548369,15.00308834,15.44823169,15.39186409,15.08017855,16.4379863,16.01356074,15.18253636,15.32171787,15.2992594,15.87227659,15.37974008,15.55547899,16.87683311,16.29510199,15.24748404,15.33457036,15.58390758,17.08613618,16.11438166,15.58429997,15.92747861,16.48811534,16.69158137,18.67882203,16.71721963,16.61259966,17.62783808,17.0484648,17.07653001,17.64372527,17.52208495,16.97418296,17.5400707,16.95136603,17.95310388,16.35804641,16.93129851,16.76936062,18.24793758,18.10750506,17.13552133,17.59502255,17.84560596,17.6572524,17.78534231,17.07473333,18.78578665,19.06994649,17.3516985,19.07445093,18.36588723
BEN,Benin,"[0.77, 6.14, 3.8, 12.24]",36.31929587,35.68172465,35.21009838,35.97557036,35.51281272,36.06710515,36.0381043,35.56577635,36.07424713,36.1295367,35.84439103,36.13455863,36.34987591,36.14584558,36.48446681,36.77666989,36.85305099,36.24521679,36.40234152,36.21532452,36.14715712,36.68565427,37.30551994,36.5771412,37.5108212,37.37595375,37.26965756,37.32889123,37.44531973,37.24103955,37.5694489,37.34179131,37.4912382,37.32523259,38.34800625,38.56392283,37.4755698,38.47385205,38.71075387,38.04144019,37.57591535,38.48802473,38.8177573,38.97744502,38.88314192,38.15754262,38.68669594,38.84107127,38.83330829,38.63504274,38.91635227,39.26069322,38.64681713,38.56267472,39.35390069,39.68512064,38.85435029
BFA,Burkina Faso,"[-5.47, 9.61, 2.18, 15.12]",38.58546881,37.79282377,37.3649836,38.25960588,37.7664587,38.5023754,38.36563766,37.82957779,38.51524553,38.31762605,37.88669403,38.42248324,38.75072368,38.27350441,38.66179018,39.13300932,39.14431936,38.63198724,38.80604926,38.65380588,38.3235454,39.1146837,39.78076172,38.60270212,40.00360695,39.87014793,39.43874904,39.45440749,39.57506601,39.44190629,39.94702359,39.66852997,39.63206682,39.82124476,40.79887183,41.20153387,39.90402772,40.69087758,41.08173677,40.67564773,39.89282106,40.84401343,41.32676233,41.57086679,41.54875549,40.39110122,41.07925016,41.24612811,41.3749777,41.25906123,41.41023552,41.8214036,41.11442329,40.96129135,42.0992501,42.29748686,41.44031576
BGD,Bangladesh,"[88.08, 20.67, 92.67, 26.45]",30.7822299,30.4647288,30.34157891,31.03449567,30.77098095,30.4256582,30.50842539,30.72847151,30.65284455,30.26098233,30.34531727,30.7408816,31.02739478,30.49141221,30.70544466,31.04782962,31.04029948,31.01863768,30.99427346,30.62319998,31.10047123,31.20000119,30.83426959,30.93670134,31.7304449,31.44122382,32.51015816,32.54964801,32.61096898,32.33518654,31.87194416,32.53743657,31.62948408,31.74397679,32.53499265,32.4727743,31.90781822,31.97685583,33.08480903,32.82864679,32.87335141,32.63346783,32.52425166,32.80677107,33.67857334,32.57970777,33.66899992,33.48338675,33.04136905,33.64240356,33.89496194,33.8724068,33.57268868,33.36054306,34.35346364,33.30976849,33.50172276
BGR,Bulgaria,"[22.38, 41.23, 28.56, 44.23]",19.02469862,17.65848446,20.3522471,18.60922933,19.05230541,17.72536549,19.56477177,19.92044467,19.45946674,18.55891222,19.33303054,20.07378189,20.67328675,20.39959049,19.50038411,18.7565843,19.91622015,18.80393736,20.66997561,19.70874262,19.59346738,19.73395171,19.14446707,20.09161275,19.76150953,19.92813683,21.18658794,21.7990118,21.4959371,22.19807068,21.0840546,21.60561365,21.81223429,21.66068253,20.84823089,21.37941937,22.23581821,21.67773389,21.56364507,21.61992485,22.4130889,21.26150512,21.70395508,20.00158641,21.00411789,21.35132993,22.03239074,22.94549802,22.37933303,22.57074411,23.42151288,22.30068226,23.27974439,22.02728344,23.82255763,22.90407515,25.20239367
BHS,Bahamas,"[-78.98, 23.71, -77.0, 27.04]",27.28177192,27.15915907,27.56055881,27.3836697,27.94214898,27.33946126,27.3193674,27.51556207,27.95564779,27.23876302,27.60283854,27.55504232,27.69159885,28.46039497,28.30278754,27.84479275,27.67758681,28.05802843,27.77463542,27.7677832,28.01666341,28.36328559,27.62352648,28.29888672,28.01021484,28.67079102,29.09992839,28.47218587,28.36183811,29.01645508,28.59451063,28.82320312,28.97689996,28.99784505,29.17671766,28.77737305,29.03640951,29.76222005,29.265574,29.1918826,29.44148546,29.55884874,28.95418023,29.09603299,29.28655273,30.07947917,30.03024089,29.76016385,29.56667318,30.35709201,29.89496094,30.30467665,30.36452257,30.46001194,30.25703559,29.66216037,30.20607313
BIH,Bosnia and Herzegovina,"[15.75, 42.65, 19.6, 45.23]",17.57954734,16.53674569,18.99040834,17.3550516,17.31414756,16.80339799,18.39203852,18.58156055,18.12820751,17.8785285,19.51450873,18.33902987,19.49389326,18.9767349,18.642826,17.93236903,17.82680317,17.68569248,19.90366544,18.68339076,18.29710817,18.32475747,18.04685205,19.63024007,18.59199742,18.47877516,19.55959469,20.48345054,20.38919196,21.64297189,20.22573279,19.76993624,20.49420143,20.31413466,19.22129001,20.78045607,20.88705133,21.08416662,20.56459459,20.24203533,21.15556846,19.84244601,20.02315393,18.80833056,20.33028679,20.3008857,20.37612197,21.60788245,20.68490183,21.6304052,21.78681158,20.98173142,22.05117274,21.5515188,22.03190279,21.76965241,23.7225261
BLR,Belarus,"[23.2, 51.32, 32.69, 56.17]",12.13589308,11.4205795,15.10738488,12.48781559,12.62076707,11.5407672,13.07103124,13.61564858,13.03096928,12.55803753,13.84556718,13.82590728,14.47811625,13.76791677,13.30675518,13.09816124,13.04132328,13.58605175,12.98959914,14.02827188,13.40513802,13.45405564,13.9070999,14.69138721,13.75412359,12.39670786,14.85834073,14.62486535,14.95196445,17.29052103,14.79554809,14.54944725,15.55838764,15.93263885,15.40182946,15.131966,14.96453801,15.11323919,15.44099446,15.52467586,15.44296412,13.68555863,16.19924751,14.37834772,15.68365474,16.24517461,15.24699614,15.16403209,15.75872924,16.37676051,16.26332144,16.42565996,17.39429237,16.37154646,17.85564638,17.69061989,16.82625981
BLZ,Belize,"[-89.23, 15.89, -88.11, 18.5]",30.80949315,29.72062355,29.47586082,30.12608507,30.8436222,30.86971933,30.59362461,30.35761719,31.02734375,30.27202932,29.99635417,30.86192853,31.17513503,31.79578511,31.71010802,31.53600502,31.12561487,31.45630305,31.0279972,31.12900511,30.90131655,31.70628617,31.66394194,30.84410687,31.39517506,31.98934221,31.75694203,31.56320168,31.5557147,32.29756462,32.63871287,32.12453945,31.94356433,32.37251399,32.56910446,32.97851321,32.19503762,33.43741802,33.2157962,33.2336034,32.69621914,33.49675203,33.49196084,33.33539979,32.99072627,33.26186343,33.68070747,34.12153983,32.95383632,34.03241223,33.74313272,34.31222994,34.16360677,34.22757764,34.10014226,34.8779755,34.02992622
BOL,Bolivia,"[-69.59, -22.87, -57.5, -9.76]",28.17657616,27.59674136,28.02351883,28.71470505,28.66997959,29.14478709,29.5062017,28.14724172,29.35148862,29.59461961,28.0996725,29.35793765,29.61103924,28.62485027,28.82814967,29.67326076,29.23095886,28.13956204,29.87355704,29.31473562,28.94952288,29.06304946,29.67586906,29.07177908,29.76993326,30.49008905,29.85208104,31.17046464,30.24303676,30.69931093,30.85838605,30.03205804,30.43295758,31.8860448,31.52947476,31.49717716,30.20552978,31.13102496,32.0146336,31.31768709,30.44553581,30.91106948,32.2382702,31.36508812,32.24823059,31.47089411,31.54275782,33.08735211,33.13870041,32.38265665,33.10850317,33.12022471,33.42935343,33.13066032,32.10620245,34.31881704,32.56918908
