ISO3,name,lat_long,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080
AFG,Afghanistan,"[60.53, 29.32, 75.16, 38.49]",0.2363,0.2499,0.2417,0.2444,0.2462,0.247,0.2419,0.2435,0.2428,0.2546,0.2448,0.2399,0.2399,0.2389,0.2467,0.2495,0.2518,0.2587,0.2481,0.2385,0.2547,0.2558,0.2466,0.2548,0.2584,0.2531,0.2658,0.2531,0.2529,0.262,0.2633,0.266,0.2569,0.251,0.2529,0.2585,0.2713,0.252,0.271,0.2752,0.2734,0.2731,0.2619,0.2867,0.2685,0.2646,0.2722,0.2721,0.2821,0.2805,0.2906,0.2835,0.2651,0.2715,0.2758,0.2876,0.2805
AGO,Angola,"[11.64, -17.93, 24.08, -4.44]",0.3146,0.3043,0.3064,0.3098,0.3089,0.3119,0.3098,0.3082,0.31,0.316,0.3093,0.3159,0.315,0.3082,0.3151,0.3158,0.3164,0.3135,0.3165,0.3153,0.3102,0.3175,0.3227,0.3189,0.3248,0.3228,0.3228,0.323,0.3225,0.3235,0.3333,0.3284,0.3247,0.3292,0.3379,0.3352,0.3282,0.325,0.3388,0.3385,0.3337,0.337,0.3383,0.3431,0.3392,0.3366,0.3421,0.3426,0.3491,0.3454,0.3442,0.3485,0.3455,0.345,0.3488,0.3554,0.3468
ALB,Albania,"[19.3, 39.62, 21.02, 42.69]",0.1911,0.1804,0.1972,0.1866,0.1897,0.1849,0.1947,0.1968,0.1943,0.1878,0.2025,0.1974,0.2071,0.2038,0.1974,0.1907,0.1973,0.1899,0.211,0.1984,0.1957,0.1955,0.1939,0.2038,0.1983,0.2003,0.2076,0.2135,0.2122,0.221,0.2108,0.2146,0.2143,0.211,0.2026,0.2161,0.2198,0.2189,0.2155,0.2141,0.2227,0.2117,0.2132,0.2021,0.2134,0.2156,0.2177,0.2254,0.2174,0.2272,0.2288,0.2212,0.2268,0.2229,0.2307,0.2246,0.2465
ARE,United Arab Emirates,"[51.58, 22.5, 56.4, 26.06]",0.3451,0.3413,0.344,0.3447,0.3513,0.3534,0.3472,0.3493,0.3508,0.3525,0.3458,0.3508,0.3546,0.3483,0.3541,0.3555,0.3548,0.3527,0.356,0.3499,0.3553,0.3582,0.3545,0.3532,0.3587,0.3569,0.3648,0.3519,0.3576,0.3626,0.3663,0.3645,0.3614,0.3609,0.3577,0.3647,0.3663,0.3673,0.3685,0.375,0.3661,0.3736,0.3681,0.3753,0.3697,0.3718,0.3689,0.3755,0.3769,0.378,0.3822,0.3839,0.3749,0.3779,0.3817,0.3818,0.3838
ARG,Argentina,"[-73.42, -55.25, -53.63, -21.83]",0.1827,0.1767,0.1768,0.1776,0.1745,0.1775,0.1819,0.177,0.1777,0.1782,0.1824,0.1762,0.178,0.1798,0.1821,0.1801,0.1813,0.1788,0.1826,0.1789,0.1767,0.1815,0.185,0.1852,0.186,0.1885,0.1817,0.186,0.1899,0.1904,0.1863,0.1897,0.1881,0.1878,0.1945,0.1934,0.1953,0.1976,0.1963,0.1984,0.1952,0.1939,0.1969,0.1933,0.2018,0.1994,0.1962,0.1986,0.1985,0.2005,0.202,0.2018,0.2012,0.2048,0.1982,0.2093,0.2076
ARM,Armenia,"[43.58, 38.74, 46.51, 41.25]",0.1639,0.1639,0.1664,0.1607,0.1713,0.171,0.1721,0.1716,0.1712,0.1591,0.1561,0.1663,0.1668,0.1687,0.1734,0.1726,0.1726,0.1687,0.1765,0.1753,0.1821,0.1853,0.184,0.1812,0.1686,0.1789,0.1947,0.1828,0.1796,0.1831,0.1715,0.1961,0.1838,0.1915,0.1855,0.1765,0.1912,0.1889,0.1882,0.1949,0.1956,0.2007,0.1976,0.1988,0.1966,0.1931,0.2026,0.1938,0.1991,0.2041,0.2079,0.2058,0.211,0.2041,0.2182,0.2133,0.221
ATF,French Southern Territories,"[68.72, -49.78, 70.56, -48.63]",0.0688,0.0681,0.0673,0.068,0.0702,0.0712,0.0734,0.0713,0.0677,0.0676,0.0713,0.0711,0.0698,0.0697,0.0696,0.0736,0.0701,0.0715,0.0762,0.0745,0.0701,0.071,0.074,0.0762,0.0755,0.0766,0.0723,0.0717,0.0776,0.0751,0.0774,0.0812,0.081,0.0787,0.0791,0.0767,0.079,0.0838,0.0819,0.0865,0.0858,0.0819,0.0859,0.0887,0.0872,0.0828,0.0818,0.0828,0.0873,0.0858,0.0819,0.0859,0.0864,0.0912,0.0883,0.0852,0.0906
AUS,Australia,"[113.34, -43.63, 153.57, -10.67]",0.2544,0.2561,0.2525,0.2566,0.2547,0.2583,0.2564,0.2551,0.2572,0.262,0.25,0.2562,0.2597,0.2607,0.2578,0.2561,0.2619,0.2595,0.2618,0.2635,0.2609,0.2626,0.2636,0.2624,0.2655,0.2677,0.2688,0.2697,0.2655,0.2666,0.2721,0.2678,0.2711,0.2692,0.2709,0.2761,0.2738,0.2743,0.2797,0.2742,0.2732,0.276,0.2786,0.2762,0.2801,0.279,0.2797,0.281,0.2829,0.282,0.282,0.2828,0.2858,0.2813,0.2839,0.2858,0.2846
AUT,Austria,"[9.48, 46.43, 16.98, 49.04]",0.125,0.1292,0.144,0.1323,0.1326,0.1254,0.1332,0.1407,0.1361,0.1339,0.1518,0.1384,0.1457,0.1396,0.1364,0.1367,0.1329,0.1365,0.1564,0.1467,0.137,0.1381,0.1384,0.1607,0.1427,0.141,0.1469,0.1549,0.1546,0.1789,0.1551,0.1528,0.1647,0.1584,0.1516,0.1653,0.1619,0.1674,0.1621,0.1605,0.1675,0.1502,0.1542,0.149,0.1686,0.167,0.1589,0.1677,0.1629,0.1718,0.1694,0.162,0.1774,0.1789,0.1704,0.1825,0.185
AZE,Azerbaijan,"[44.79, 38.27, 50.39, 41.86]",0.1804,0.1815,0.1842,0.1794,0.1896,0.1887,0.1897,0.1893,0.1912,0.1764,0.1717,0.1844,0.1848,0.1879,0.1902,0.1915,0.1918,0.1863,0.192,0.1926,0.1967,0.2051,0.2017,0.199,0.1903,0.1962,0.2093,0.2004,0.1964,0.2026,0.1908,0.2128,0.2035,0.2089,0.2013,0.1947,0.2043,0.202,0.2056,0.2124,0.21,0.2174,0.2128,0.2161,0.2132,0.2066,0.2193,0.2132,0.2172,0.2195,0.2224,0.2221,0.2269,0.2192,0.2312,0.2307,0.229
BDI,Burundi,"[29.02, -4.5, 30.75, -2.35]",0.2858,0.2705,0.2742,0.2766,0.2793,0.2816,0.2753,0.2793,0.2802,0.2811,0.2782,0.2817,0.284,0.2819,0.2861,0.2863,0.2884,0.2852,0.2838,0.287,0.2785,0.2895,0.2938,0.2893,0.2964,0.2928,0.2928,0.298,0.2912,0.2965,0.2981,0.2932,0.2957,0.2995,0.3082,0.3011,0.2971,0.2998,0.3084,0.3036,0.2994,0.3058,0.3061,0.3082,0.3031,0.3059,0.3052,0.3126,0.3175,0.3084,0.3101,0.3131,0.3083,0.3084,0.3135,0.3212,0.3106
BEL,Belgium,"[2.51, 49.53, 6.16, 51.48]",0.14,0.1518,0.1553,0.1505,0.1439,0.139,0.15,0.1545,0.1539,0.1508,0.1644,0.1601,0.1518,0.1532,0.153,0.1587,0.1538,0.1556,0.1688,0.163,0.1525,0.1533,0.1558,0.1709,0.1611,0.1558,0.1593,0.1649,0.1669,0.1868,0.1672,0.1661,0.1763,0.1705,0.1708,0.1764,0.1752,0.1697,0.1754,0.1695,0.1795,0.1636,0.1693,0.1677,0.1825,0.1811,0.1714,0.176,0.1785,0.1766,0.1779,0.1707,0.1879,0.1907,0.1735,0.1907,0.1837
BEN,Benin,"[0.77, 6.14, 3.8, 12.24]",0.3632,0.3568,0.3521,0.3598,0.3551,0.3607,0.3604,0.3557,0.3607,0.3613,0.3584,0.3613,0.3635,0.3615,0.3648,0.3678,0.3685,0.3625,0.364,0.3622,0.3615,0.3669,0.3731,0.3658,0.3751,0.3738,0.3727,0.3733,0.3745,0.3724,0.3757,0.3734,0.3749,0.3733,0.3835,0.3856,0.3748,0.3847,0.3871,0.3804,0.3758,0.3849,0.3882,0.3898,0.3888,0.3816,0.3869,0.3884,0.3883,0.3864,0.3892,0.3926,0.3865,0.3856,0.3935,0.3969,0.3885
